Dataset Name,name_2
shscdailystatistics,AShareSWNIndustriesClass
shscchannelholdings,shscdailystatistics
shsctop10activestocks,shscchannelholdings
asharereginv,aindexfinancialderivative
AShareAuditOpinion,AINDEXVALUATION
asharedividend,aindexwindindustrieseod
AShareConsensusRollingData,aindexeodprices
ashareconsensusrollingdata,aindexmembers
ashareeventdateinformation,AshareISActivity
ashareexrightdividendrecord,AShareISParticipant
asharecorpoletdescription,asharereginv
asharefreefloatcalendar,asharecorpoletdescription
chinamutualfundassetportfolio,ashareillegality
chinamutualfunddescription,asharest
chinamutualfundindportfolio,AShareMajorEvent
chinamutualfundissue,AShareInsiderTrade
chinamutualfundmanager,AShareMjrHolderTrade
chinamutualfundnav,ASarePlanTrade
chinamutualfundposestimation,AShareFreeFloatCalendar
cmfundthirdpartyrating,AShareFloatHolder
cmfissuingdatepredict,ashareinstholderderdata
chinamutualfundstockportfolio,ashareholdernumber
hksharedescription,cmfissuingdatepredict
ashareillegality,asharemanagement
aindexwindindustrieseod,asharemanagementholdreward
AShareSWNIndustriesClass,asharestaff
indexcontrastsector,AShareStaffStructure
ashareindustriescode,AShareAuditOpinion
AShareIndustriesCode,asharedividend
aindexeodprices,ashareeventdateinformation
aindexfinancialderivative,asharefreefloatcalendar
aindexmembers,asharecapitalization
AINDEXVALUATION,shsctop10activestocks
asharedescription,AShareMarginTrade
asharemanagement,chinamutualfundnav
asharemanagementholdreward,chinamutualfundposestimation
AShareEODPrices,chinamutualfundissue
AShareEODDerivativeIndicator,ashareexrightdividendrecord
ashareownership,AShareEODPrices
ASHAREDESCRIPTION,AShareEODDerivativeIndicator
asharecapitalization,AShareCalendar
asharest,AShareTradingSuspension
asharestaff,hksharedescription
AShareStaffStructure,AShareConsensusRollingData
AShareCalendar,ashareconsensusrollingdata
AShareTradingSuspension,asharedescription
chinamutualfundsector,ashareownership
CON_FORECAST_STK,ASHAREDESCRIPTION
con_forecast_c2_stk,chinamutualfunddescription
CON_STOCK_INCOME,chinamutualfundmanager
cmb_report_adjust,chinamutualfundsector
gg_org_list,indexcontrastsector
cmb_report_subtable,ashareindustriescode
cmb_report_score_adjust,AShareIndustriesCode
con_forecast_schedule,chinamutualfundassetportfolio
AshareISActivity,chinamutualfundindportfolio
AShareISParticipant,cmfundthirdpartyrating
AShareMajorEvent,chinamutualfundstockportfolio
AShareInsiderTrade,CON_FORECAST_STK
AShareMjrHolderTrade,con_forecast_c2_stk
ASarePlanTrade,CON_STOCK_INCOME
AShareFreeFloatCalendar,cmb_report_adjust
stock_emotion,gg_org_list
AShareFloatHolder,cmb_report_subtable
ashareinstholderderdata,cmb_report_score_adjust
AShareMarginTrade,con_forecast_schedule
cmfholderstructure,stock_emotion
ashareholdernumber,
